ID,appellation,alternativeNames,gender,verbaleDating,wikidata_id,gnd_id,occupation,resource_urls
013adbc6-786f-461e-b5fe-109d27eec2c5,"Weiß, Matthias",,MALE,,,121833143,architect,
e57eda28-d92e-4075-a8c0-a78c00e95a77,"Schirmer, Jan",,,,,,author,
e4dc1290-9f2f-4d88-81df-208ce488f580,"Friedrich III., Sachsen, Kurfürst",,MALE,,Q77233,11853579X,commissioner,
bb48613a-00c1-4a5b-9a21-477d1d1eeadd,"Johann Georg II., Sachsen-Eisenach, Herzog",,MALE,,,104177713,commissioner,
280042dc-b6d3-4931-9e00-ca9a14ecddb1,"Sophia Charlotte, Württemberg, Herzogin","Sophia Charlotte, Sachsen-Eisenach, Herzogin",FEMALE,,,11582166X,commissioner,
722d408b-141a-49ec-a9ef-b2aeb5699f22,"Kretschmar, Melchior Emanuel",,MALE,,,,builder,
0f7da4e1-71fa-449d-8b8b-aef062b7c61b,"Carcani, Giovanni Battista",,MALE,,,,plasterer,
01bd25f1-8255-409d-910c-7dcd399a1c6a,"Stern, Hans",,MALE,,,,builder,
5f902e60-8a01-4daf-b127-f9a0550e8cb1,"Burioni, Matteo",,MALE,,Q107300454,1028566174,author,
81692041-d3c7-4c82-8401-5cac22357428,"August, der Starke, Kurfürst-König, Sachsen, Polen","August II., König, Polen;August, der Starke, König, Polen;Friedrich August I., Kurfürst, Sachsen",MALE,,Q53437,118505084,commissioner,
80c8f4f8-592f-44a8-8b6c-4ceac3eb17a1,"Maria Josepha, Polen, Königin",,FEMALE,,Q84276,11917426X,commissioner,
136cf459-9b42-4527-a5cb-a51857369882,"August III., Polen, König",,MALE,,,118505092,commissioner,
7b9e4776-01a7-4b85-b455-b29d730aec0b,"Naumann, Johann Christoph von",,MALE,,Q100228,103077847,architect,
f60d1d33-f544-4330-8f7a-cb4d82bbbc20,"Silvestre, Louis de",,MALE,,Q729087,122656849,designer;painter;template provider,
bcce45d3-f8e5-4dd5-8d81-2074d9645291,"Grone, Giovanni Battista",,MALE,,Q1390687,122719670,painter,
060eccbb-2bcf-46a4-831b-67dbe64ab0ee,"Heffter, Heinrich von",,MALE,,,104134364,commissioner,
6392193c-9362-4dbb-a64a-30e6805c56ee,"Prescher, Nikolaus",,MALE,,,1219919195,painter,
